cliente_id,nombre_completo,documento_id,fecha_nacimiento,fecha_alta,segmento,ingresos_mensuales,pep,pais_residencia,riesgo_base,telefonos,emails,productos_activos,ultima_actualizacion
C000001,Luis Ricardo Vasquez Mendez,DPI-9074808442191,1987-01-10,2024-08-19,PREMIUM,6162.74,false,GT,37.41,+50243156087,luis.ricardo.vasquez.mendez.1@correo.com,TARJETA_DEBITO,2026-02-13T13:50:12Z
C000002,Miguel Carlos Rojas Cruz,DPI-5061452325555,1979-09-02,2021-08-16,PERSONAL,2698.44,false,GT,23.71,+50239771317,miguel.carlos.rojas.cruz.2@correo.com,TARJETA_CREDITO,2026-02-23T14:01:59Z
C000003,Diego Jorge Reyes Morales,DPI-4544975926154,1955-07-30,2020-08-06,PERSONAL,1643.17,false,GT,33.52,+50227291981|+50221786052,diego.jorge.reyes.morales.3@correo.com,SEGURO|INVERSION|TARJETA_DEBITO,2026-03-17T22:42:16Z
C000004,Rafael Carlos Diaz Perez,DPI-6749693671226,1975-08-11,2022-08-22,PERSONAL,1483.73,false,GT,24.89,+50246626649,rafael.carlos.diaz.perez.4@correo.com,INVERSION|SEGURO,2026-03-04T00:31:32Z
C000005,Alberto Silvia Diaz Cruz,DPI-5003847598519,1988-05-01,2019-12-14,PERSONAL,888.56,false,US,43.67,+50244605008|+50262270548,alberto.silvia.diaz.cruz.5@correo.com,PRESTAMO,2026-02-04T15:42:58Z
C000006,Sofia Alberto Ramirez Perez,DPI-1022359712143,1971-03-08,2025-01-21,PERSONAL,2250.40,true,GT,63.52,+50221546952,sofia.alberto.ramirez.perez.6@correo.com,PRESTAMO|SEGURO|CORRIENTE|INVERSION,2026-04-02T02:38:38Z
C000007,Camila Jose Garcia Morales,DPI-3493346875965,1994-12-17,2025-01-16,PERSONAL,1481.31,false,GT,31.81,+50231779948,camila.jose.garcia.morales.7@correo.com,TARJETA_DEBITO|SEGURO,2026-03-28T11:14:37Z
C000008,Natalia Camila Perez Cruz,DPI-4318617416460,1957-07-20,2018-12-16,PREMIUM,11732.75,false,GT,43.34,+50224134303,natalia.camila.perez.cruz.8@correo.com,CORRIENTE|TARJETA_CREDITO,2026-03-24T17:19:42Z
C000009,Camila Oscar Diaz Perez,DPI-4608803299163,1989-11-20,2026-01-09,PERSONAL,1737.28,false,GT,31.30,+50252800359|+50266681966,camila.oscar.diaz.perez.9@correo.com,CORRIENTE,2026-02-25T15:17:00Z
C000010,Gabriela Ricardo Morales Garcia,DPI-7593449960663,1969-03-27,2020-12-18,PYME,8519.24,false,GT,30.40,+50252688760,gabriela.ricardo.morales.garcia.10@correo.com,CORRIENTE,2026-04-02T08:33:13Z
C000011,Sofia Karla Martinez Rojas,DPI-4353661802815,2004-01-07,2025-03-06,PERSONAL,3402.98,false,SV,36.51,+50227197656,sofia.karla.martinez.rojas.11@correo.com,TARJETA_DEBITO,2026-03-01T08:08:32Z
C000012,Rafael Silvia Martinez Morales,DPI-7205553091310,1962-12-10,2026-02-14,PERSONAL,2054.46,false,GT,45.55,+50255846600,rafael.silvia.martinez.morales.12@correo.com,INVERSION|CORRIENTE|SEGURO|AHORRO,2026-04-09T18:10:48Z
C000013,Valeria Diego Morales Perez,DPI-3805377723494,1974-07-25,2019-11-21,PERSONAL,1873.43,false,US,30.21,+50273792605,valeria.diego.morales.perez.13@correo.com,TARJETA_CREDITO|CORRIENTE|AHORRO|INVERSION,2026-04-11T04:09:47Z
