cuenta_id,iban,tipo_cuenta,moneda_base,fecha_apertura,estado,saldo_actual,limite_diario,es_conjunta,canales_habilitados,pais_apertura,score_riesgo,ultima_actividad
CU000001,GT82BAGT000000000001,NOMINA,GTQ,2024-12-01,ACTIVA,-2626.96,19460.93,false,MOBILE|API|ATM|WEB,GT,33.82,2026-03-24T16:48:18Z
CU000002,GT82BAGT000000000002,EMPRESARIAL,GTQ,2025-10-08,ACTIVA,60240.53,60103.02,false,API|MOBILE|ATM,GT,77.14,2026-03-04T18:29:34Z
CU000003,GT82BAGT000000000003,CORRIENTE,GTQ,2024-01-25,ACTIVA,14850.39,33454.21,false,ATM|POS|API|MOBILE,GT,16.26,2026-04-06T19:49:38Z
CU000004,GT82BAGT000000000004,AHORRO,GTQ,2025-05-04,ACTIVA,26938.74,47101.20,false,POS|MOBILE,GT,47.69,2026-04-05T01:09:50Z
CU000005,GT82BAGT000000000005,CORRIENTE,USD,2023-11-24,ACTIVA,61124.90,31067.66,false,WEB|ATM|POS,GT,32.96,2026-04-12T19:46:11Z
CU000006,GT82BAGT000000000006,CORRIENTE,GTQ,2022-10-14,ACTIVA,50188.57,20952.94,false,POS|API,GT,10.58,2026-04-20T21:07:58Z
CU000007,GT82BAGT000000000007,AHORRO,GTQ,2023-10-12,BLOQUEADA,15182.32,12120.78,false,POS|WEB,GT,24.20,2026-04-16T18:31:55Z
CU000008,GT82BAGT000000000008,AHORRO,GTQ,2026-04-09,ACTIVA,27682.92,44001.56,false,WEB|MOBILE|API,GT,30.55,2026-03-15T12:31:54Z
CU000009,GT82BAGT000000000009,NOMINA,GTQ,2023-03-08,ACTIVA,2961.44,20172.31,false,API|MOBILE|WEB,GT,87.36,2026-04-09T03:06:26Z
CU000010,GT82BAGT000000000010,CORRIENTE,GTQ,2024-12-10,ACTIVA,56239.86,23504.06,false,API|MOBILE|ATM|POS,GT,30.83,2026-04-04T13:48:07Z
CU000011,GT82BAGT000000000011,NOMINA,GTQ,2023-09-17,ACTIVA,22541.13,33490.48,false,WEB|POS|API,GT,12.29,2026-03-23T16:02:35Z
CU000012,GT82BAGT000000000012,AHORRO,GTQ,2021-06-01,ACTIVA,25126.48,9615.45,false,MOBILE|API|ATM|WEB,GT,34.29,2026-04-18T09:58:28Z
CU000013,GT82BAGT000000000013,NOMINA,GTQ,2023-01-24,CERRADA,32016.80,31489.47,false,POS|API,GT,62.01,2026-04-03T15:33:34Z
CU000014,GT82BAGT000000000014,AHORRO,GTQ,2024-04-20,ACTIVA,14281.00,7982.46,false,WEB|MOBILE,GT,32.89,2026-03-06T08:48:03Z
CU000015,GT82BAGT000000000015,NOMINA,USD,2024-02-20,ACTIVA,34294.93,34658.16,false,API|ATM|WEB,GT,40.79,2026-04-02T07:46:26Z
CU000016,GT82BAGT000000000016,AHORRO,USD,2022-10-29,BLOQUEADA,18375.24,49537.32,false,ATM|MOBILE|API,GT,30.51,2026-04-13T00:00:48Z
CU000017,GT82BAGT000000000017,EMPRESARIAL,GTQ,2025-07-17,ACTIVA,290874.98,25267.04,false,WEB|ATM,GT,36.27,2026-04-10T19:10:01Z
CU000018,GT82BAGT000000000018,NOMINA,USD,2021-07-21,ACTIVA,34284.96,26262.11,false,WEB|API|MOBILE,GT,35.73,2026-04-18T19:33:21Z
CU000019,GT82BAGT000000000019,EMPRESARIAL,GTQ,2026-02-22,ACTIVA,267003.49,108647.30,false,WEB|MOBILE|POS,GT,23.50,2026-03-18T08:00:53Z
CU000020,GT82BAGT000000000020,AHORRO,GTQ,2026-02-05,ACTIVA,18459.64,32358.21,false,POS|MOBILE,GT,45.20,2026-03-16T06:07:17Z
CU000021,GT82BAGT000000000021,AHORRO,GTQ,2025-06-01,ACTIVA,36827.02,6429.95,true,ATM|MOBILE|WEB|POS,GT,44.35,2026-04-14T07:42:41Z
CU000022,GT82BAGT000000000022,NOMINA,GTQ,2021-10-17,ACTIVA,6002.53,13984.93,false,POS|ATM,GT,19.58,2026-04-15T23:51:39Z
CU000023,GT82BAGT000000000023,EMPRESARIAL,USD,2020-04-08,ACTIVA,83156.28,79242.76,false,MOBILE|ATM,GT,38.28,2026-03-12T20:08:43Z
CU000024,GT82BAGT000000000024,AHORRO,GTQ,2020-07-04,ACTIVA,34035.62,49451.65,false,MOBILE|POS|ATM,GT,25.41,2026-04-03T06:18:38Z
CU000025,GT82BAGT000000000025,AHORRO,USD,2024-12-04,ACTIVA,9965.20,25675.14,false,MOBILE|POS|WEB|ATM,GT,31.72,2026-04-05T03:35:30Z
CU000026,GT82BAGT000000000026,AHORRO,USD,2026-01-13,BLOQUEADA,44774.61,11586.03,true,ATM|API|POS|MOBILE,GT,38.25,2026-04-14T06:25:17Z
CU000027,GT82BAGT000000000027,AHORRO,GTQ,2025-01-15,ACTIVA,36889.71,7426.10,false,WEB|POS,GT,35.60,2026-04-09T14:46:42Z
CU000028,GT82BAGT000000000028,NOMINA,GTQ,2026-04-12,ACTIVA,41598.05,38341.85,false,ATM|POS|API|WEB,GT,52.96,2026-04-18T10:04:37Z
CU000029,GT82BAGT000000000029,AHORRO,GTQ,2022-11-23,ACTIVA,38366.02,46060.07,false,API|ATM|WEB,GT,55.01,2026-04-20T07:11:01Z
CU000030,GT82BAGT000000000030,AHORRO,GTQ,2023-05-30,ACTIVA,11182.17,28255.93,false,MOBILE|ATM,GT,26.74,2026-03-26T12:10:51Z
CU000031,GT82BAGT000000000031,CORRIENTE,GTQ,2026-02-16,ACTIVA,24244.06,52400.34,false,POS|WEB|ATM|API,GT,35.81,2026-04-19T00:39:49Z
